gender,occupation,age_group
male,nurse,30-40
male,factory worker,40-50
female,factory worker,40-50
male,nurse,40-50
male,nurse,40-50
female,factory worker,40-50
male,nurse,30-40
female,nurse,20-30
male,factory worker,30-40
female,factory worker,20-30
male,nurse,20-30
female,nurse,40-50
female,nurse,40-50
male,nurse,40-50
female,nurse,40-50
female,nurse,40-50
female,nurse,40-50
female,nurse,40-50
female,nurse,40-50
female,nurse,20-30
female,nurse,40-50
male,nurse,40-50
female,nurse,40-50
male,nurse,40-50
male,nurse,40-50
female,nurse,40-50
female,nurse,20-30
male,nurse,20-30
female,nurse,40-50
female,nurse,40-50
female,nurse,20-30
male,nurse,40-50
male,nurse,20-30
female,nurse,40-50
male,nurse,40-50
female,nurse,20-30
female,nurse,40-50
female,nurse,40-50
male,nurse,40-50
male,nurse,40-50
female,nurse,20-30
female,nurse,40-50
female,nurse,40-50
male,nurse,20-30
male,nurse,20-30
male,nurse,20-30
male,nurse,40-50
female,nurse,40-50
female,nurse,40-50
male,nurse,20-30
female,nurse,20-30
female,nurse,20-30
female,nurse,40-50
female,nurse,20-30
female,nurse,40-50
male,nurse,20-30
male,nurse,40-50
female,nurse,40-50
male,nurse,20-30
male,nurse,20-30
female,nurse,40-50
female,nurse,20-30
male,nurse,40-50
female,nurse,40-50
female,nurse,20-30
female,nurse,20-30
female,nurse,20-30
male,nurse,40-50
male,nurse,20-30
female,nurse,20-30
male,nurse,40-50
female,nurse,40-50
male,nurse,20-30
male,nurse,20-30
male,nurse,40-50
male,nurse,40-50
female,nurse,20-30
female,nurse,20-30
male,nurse,40-50
male,nurse,40-50
female,nurse,20-30
male,nurse,40-50
female,nurse,20-30
male,nurse,40-50
female,nurse,40-50
male,nurse,40-50
male,nurse,40-50
male,nurse,20-30
female,nurse,20-30
female,nurse,40-50
female,nurse,20-30
male,nurse,20-30
female,nurse,40-50
female,nurse,40-50
female,nurse,20-30
female,nurse,20-30
male,nurse,40-50
female,nurse,20-30
female,nurse,20-30
male,nurse,20-30
